tweet_id,username,user_id,text,created_at,retweet_count,favorite_count
1884544264195002723,teleSUR TV,45013575,La campaña electoral en #Ecuador🇪🇨 avanza en medio de la crisis de seguridad y la pelea política entre el presidente Daniel Noboa y la vicepresidenta Verónica Abad https://t.co/kx5sy2yvRa,Wed Jan 29 10:09:00 +0000 2025,2,8
1884542006136914023,Ecuavisa Noticias,256747696,"#LoMásLeído |  Daniel Noboa y el presidente electo de #Venezuela, Edmundo González, acordaron tres puntos tras su reunión en el Palacio de Carondelet, Centro Histórico de #Quito. https://t.co/UnVIFAn4TE",Wed Jan 29 10:00:02 +0000 2025,15,59
1884541632155976019,Darwin Pantoja Dr.⚖,15709862,"MEGA DESTRUCCIÓN EN EL #CANTÓN #LASNAVES Proyecto minero de #AdventusMiningCorporation y #SalazarResources, parte de sus #accionistas, #familia del #presidente Daniel Noboa  Azin mediante su #corporaciónNobisHoldingsdeInversiones (#GrupoNobis)  https://t.co/AHJrs2RZmD https://t.co/3Zb8VI0cyz",Wed Jan 29 09:58:32 +0000 2025,0,0
1884541016528625880,El Pitazo,2828470096,"El presidente de Ecuador, Daniel Noboa, también se unió a la declaración de #Trump, considerando al Tren de Aragua como un grupo terrorista. Descubre más sobre esta decisión: https://t.co/fLPTcmqJxX",Wed Jan 29 09:56:06 +0000 2025,0,2
1884535123611177447,Raul Colorado,113219536,Gracias Ecuador en su Presidente Daniel Noboa por su solidaridad @DanielNoboaOk https://t.co/85L1WEG27M,Wed Jan 29 09:32:41 +0000 2025,0,0
1884529382443635188,Davidkikee,1776061080562802688,@ElDatoEcua Daniel noboa Presidente VOTAR TODO EN PLANCHA LISTA DE NOBOA,Wed Jan 29 09:09:52 +0000 2025,0,1
1884529026254897272,Davidkikee,1776061080562802688,@ElPortalEcu DANIEL NOBOA PRESIDENTE VOTAR TODO EN PLANCHA LISTA DE NOBOA,Wed Jan 29 09:08:27 +0000 2025,0,0
1884526036580229284,DEMOCRACY & LIBERTY,283048049,@MinMedio Pueblo ecuatoriano le recuerdo que en las urnas es todo voten por el presidente Daniel Noboa para que así continúen las Fuerzas Armadas en las calles combatiendo al crimen organizado terrorista. Gracias,Wed Jan 29 08:56:34 +0000 2025,0,1
1884522932996653111,Davidkikee,1776061080562802688,@Sr_Granda DANIEL NOBOA PRESIDENTE VOTAR TODO EN PLANCHA LISTA DE NOBOA,Wed Jan 29 08:44:14 +0000 2025,0,0
1884522218077438026,Davidkikee,1776061080562802688,@radiocentroec @DanielNoboaOk @EdmundoGU DANIEL NOBOA PRESIDENTE VOTAR TODO EN PLANCHA LISTA DE NOBOA,Wed Jan 29 08:41:24 +0000 2025,0,0
1884521803458212302,Davidkikee,1776061080562802688,@UrgenciaEcu DANIEL NOBOA PRESIDENTE VOTAR EN PLANCHA LISTA DE NOBOA,Wed Jan 29 08:39:45 +0000 2025,0,0
1884521076346044527,Davidkikee,1776061080562802688,@ElPortalEcu Daniel noboa Presidente VOTAR TODO EN PLANCHA LISTA DE NOBOA,Wed Jan 29 08:36:51 +0000 2025,0,0
1884520910780051608,Davidkikee,1776061080562802688,@ElDatoEcua Daniel noboa Presidente,Wed Jan 29 08:36:12 +0000 2025,0,0
1884514804326433140,xaviertivers098,1587532489010151424,@ElDatoEcua 100% Daniel Noboa Presidente 🇪🇨💪,Wed Jan 29 08:11:56 +0000 2025,0,0
